"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"156",10000,0.00100671140939597,"seagrass",84.44,NA,0,0.17,NA,0.16,1.76,NA,0,2799.05,NA,238.78,0.1,NA,1.15
"157",22.7,0.00104697986577181,"seagrass",214.55,NA,0,0.69,NA,0.16,2.03,NA,0,3950.74,NA,238.73,0.01,NA,1.15
"158",100,0.00104697986577181,"seagrass",140.29,NA,0,0.33,NA,0.16,1.94,NA,0,3314.17,NA,238.73,0.02,NA,1.15
"159",500,0.00104697986577181,"seagrass",95.48,NA,0,0.19,NA,0.16,1.82,NA,0,2931.14,NA,238.73,0.06,NA,1.15
"160",1000,0.00104697986577181,"seagrass",88.9,NA,0,0.18,NA,0.16,1.78,NA,0,2844.02,NA,238.73,0.08,NA,1.15
"161",6000,0.00104697986577181,"seagrass",83.05,NA,0,0.17,NA,0.16,1.72,NA,0,2750.22,NA,238.73,0.1,NA,1.15
"162",10000,0.00104697986577181,"seagrass",82.55,NA,0,0.17,NA,0.16,1.72,NA,0,2741.49,NA,238.73,0.1,NA,1.15
"163",22.7,0.00108724832214765,"seagrass",207.61,NA,0,0.68,NA,0.16,1.97,NA,0,3857.86,NA,238.68,0.01,NA,1.15
"164",100,0.00108724832214765,"seagrass",136.04,NA,0,0.33,NA,0.16,1.9,NA,0,3241.31,NA,238.68,0.02,NA,1.15
"165",500,0.00108724832214765,"seagrass",93.32,NA,0,0.19,NA,0.16,1.78,NA,0,2874.45,NA,238.68,0.06,NA,1.15
"166",1000,0.00108724832214765,"seagrass",86.93,NA,0,0.18,NA,0.16,1.74,NA,0,2788.07,NA,238.68,0.08,NA,1.15
"167",6000,0.00108724832214765,"seagrass",81.16,NA,0,0.17,NA,0.16,1.69,NA,0,2693.1,NA,238.68,0.11,NA,1.15
"168",10000,0.00108724832214765,"seagrass",80.67,NA,0,0.17,NA,0.16,1.68,NA,0,2684.16,NA,238.68,0.11,NA,1.15
"169",22.7,0.00112751677852349,"seagrass",201.07,NA,0,0.67,NA,0.16,1.92,NA,0,3769.85,NA,238.64,0.01,NA,1.15
"170",100,0.00112751677852349,"seagrass",132.05,NA,0,0.33,NA,0.16,1.86,NA,0,3172.07,NA,238.64,0.02,NA,1.15
"171",500,0.00112751677852349,"seagrass",91.22,NA,0,0.19,NA,0.16,1.75,NA,0,2819.21,NA,238.64,0.07,NA,1.15
"172",1000,0.00112751677852349,"seagrass",84.99,NA,0,0.18,NA,0.16,1.7,NA,0,2732.96,NA,238.64,0.09,NA,1.15
"173",6000,0.00112751677852349,"seagrass",79.28,NA,0,0.17,NA,0.16,1.65,NA,0,2635.99,NA,238.64,0.12,NA,1.15
"174",10000,0.00112751677852349,"seagrass",78.79,NA,0,0.17,NA,0.16,1.64,NA,0,2626.75,NA,238.64,0.12,NA,1.15
"175",22.7,0.00116778523489933,"seagrass",194.89,NA,0,0.67,NA,0.16,1.87,NA,0,3686.31,NA,238.59,0.01,NA,1.15
"176",100,0.00116778523489933,"seagrass",128.27,NA,0,0.32,NA,0.16,1.81,NA,0,3106.14,NA,238.59,0.03,NA,1.15
"177",500,0.00116778523489933,"seagrass",89.18,NA,0,0.19,NA,0.16,1.71,NA,0,2765.26,NA,238.59,0.07,NA,1.15
"178",1000,0.00116778523489933,"seagrass",83.08,NA,0,0.18,NA,0.16,1.67,NA,0,2678.48,NA,238.59,0.09,NA,1.15
"179",6000,0.00116778523489933,"seagrass",77.38,NA,0,0.17,NA,0.16,1.61,NA,0,2578.54,NA,238.59,0.12,NA,1.15
"180",10000,0.00116778523489933,"seagrass",76.89,NA,0,0.17,NA,0.16,1.6,NA,0,2568.89,NA,238.59,0.13,NA,1.15
"181",22.7,0.00120805369127517,"seagrass",189.04,NA,0,0.66,NA,0.16,1.82,NA,0,3606.9,NA,238.54,0.01,NA,1.15
"182",100,0.00120805369127517,"seagrass",124.7,NA,0,0.32,NA,0.16,1.78,NA,0,3043.26,NA,238.54,0.03,NA,1.15
"183",500,0.00120805369127517,"seagrass",87.18,NA,0,0.19,NA,0.16,1.68,NA,0,2712.41,NA,238.54,0.08,NA,1.15
