"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"145",0,0.00193288590604027,"bistable",64.66,5.26,0,0.35,0.14,0.11,0.88,0.12,0,1787.32,378.34,162.15,0.03,0.61,0.69
"146",0.0208333333333333,0.00193288590604027,"bistable",64.66,5.26,0,0.35,0.14,0.11,0.88,0.12,0,1770.11,374.7,160.59,0.03,0.61,0.69
"147",20,0.00193288590604027,"bistable",64.66,5.26,0,0.35,0.14,0.11,0.88,0.12,0,172.99,36.62,15.69,0.03,0.61,0.69
"148",0,0.00197315436241611,"bistable",63.18,5.61,0,0.34,0.14,0.11,0.86,0.13,0,1760.27,391.23,162.15,0.03,0.61,0.69
"149",0.0208333333333333,0.00197315436241611,"bistable",63.18,5.61,0,0.34,0.14,0.11,0.86,0.13,0,1742.97,387.39,160.56,0.03,0.61,0.69
"150",20,0.00197315436241611,"bistable",63.18,5.61,0,0.34,0.14,0.11,0.86,0.13,0,167.22,37.17,15.4,0.03,0.61,0.69
"151",0,0.00201342281879195,"bistable",61.74,5.96,0,0.34,0.14,0.11,0.85,0.14,0,1734.03,404.33,162.15,0.03,0.6,0.69
"152",0.0208333333333333,0.00201342281879195,"bistable",61.74,5.96,0,0.34,0.14,0.11,0.85,0.14,0,1716.65,400.27,160.52,0.03,0.6,0.69
"153",20,0.00201342281879195,"bistable",61.74,5.96,0,0.34,0.14,0.11,0.85,0.14,0,161.74,37.71,15.12,0.03,0.6,0.69
"154",0,0.00205369127516779,"bistable",60.36,6.33,0,0.34,0.14,0.11,0.83,0.14,0,1708.56,417.64,162.15,0.03,0.6,0.69
"155",0.0208333333333333,0.00205369127516779,"bistable",60.36,6.33,0,0.34,0.14,0.11,0.83,0.14,0,1691.09,413.37,160.49,0.03,0.6,0.69
"156",20,0.00205369127516779,"bistable",60.36,6.33,0,0.34,0.14,0.11,0.83,0.14,0,156.53,38.26,14.86,0.03,0.6,0.69
"157",0,0.00209395973154362,"bistable",59.03,6.71,0,0.33,0.14,0.11,0.82,0.15,0,1683.8,431.17,162.15,0.03,0.59,0.69
"158",0.0208333333333333,0.00209395973154362,"bistable",59.03,6.71,0,0.33,0.14,0.11,0.82,0.15,0,1666.26,426.68,160.46,0.03,0.59,0.69
"159",20,0.00209395973154362,"bistable",59.03,6.71,0,0.33,0.14,0.11,0.82,0.15,0,151.56,38.81,14.6,0.03,0.59,0.69
"160",0,0.00213422818791946,"bistable",57.74,7.09,0,0.33,0.15,0.11,0.81,0.16,0,1659.72,444.94,162.15,0.03,0.58,0.69
"161",0.0208333333333333,0.00213422818791946,"bistable",57.74,7.09,0,0.33,0.15,0.11,0.81,0.16,0,1642.1,440.22,160.43,0.03,0.58,0.69
"162",20,0.00213422818791946,"bistable",57.74,7.09,0,0.33,0.15,0.11,0.81,0.16,0,146.83,39.36,14.34,0.03,0.58,0.69
"163",0,0.0021744966442953,"bistable",56.5,7.49,0,0.33,0.15,0.11,0.79,0.17,0,1636.27,458.96,162.15,0.03,0.58,0.69
"164",0.0208333333333333,0.0021744966442953,"bistable",56.5,7.49,0,0.33,0.15,0.11,0.79,0.17,0,1618.57,454,160.4,0.03,0.58,0.69
"165",20,0.0021744966442953,"bistable",56.5,7.49,0,0.33,0.15,0.11,0.79,0.17,0,142.3,39.92,14.1,0.03,0.58,0.69
"166",0,0.00221476510067114,"bistable",55.29,7.9,0,0.32,0.15,0.11,0.78,0.18,0,1613.4,473.24,162.15,0.04,0.57,0.69
"167",0.0208333333333333,0.00221476510067114,"bistable",55.29,7.9,0,0.32,0.15,0.11,0.78,0.18,0,1595.63,468.03,160.36,0.04,0.57,0.69
"168",20,0.00221476510067114,"bistable",55.29,7.9,0,0.32,0.15,0.11,0.78,0.18,0,137.98,40.47,13.87,0.04,0.57,0.69
"169",0,0.00225503355704698,"bistable",54.12,8.33,0,0.32,0.15,0.11,0.77,0.18,0,1591.08,487.79,162.15,0.04,0.56,0.69
"170",0.0208333333333333,0.00225503355704698,"bistable",54.12,8.33,0,0.32,0.15,0.11,0.77,0.18,0,1573.24,482.32,160.33,0.04,0.56,0.69
"171",20,0.00225503355704698,"bistable",54.12,8.33,0,0.32,0.15,0.11,0.77,0.18,0,133.85,41.03,13.64,0.04,0.56,0.69
