"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"113",22.7,0.00225503355704698,"bistable",54.12,8.33,0,0.32,0.15,0.11,0.77,0.18,0,1573.24,482.32,160.33,0.04,0.56,0.69
"114",1e+06,0.00225503355704698,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.33,NA,NA,7.72
"115",22.7,0.00229530201342282,"bistable",52.99,8.77,0,0.32,0.15,0.11,0.76,0.19,0,1551.35,496.9,160.3,0.04,0.55,0.69
"116",1e+06,0.00229530201342282,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.3,NA,NA,7.72
"117",22.7,0.00233557046979866,"bistable",51.88,9.22,0,0.31,0.16,0.11,0.75,0.2,0,1529.94,511.77,160.27,0.04,0.55,0.69
"118",1e+06,0.00233557046979866,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.27,NA,NA,7.72
"119",22.7,0.0023758389261745,"bistable",50.81,9.68,0,0.31,0.16,0.11,0.74,0.21,0,1508.96,526.96,160.24,0.04,0.54,0.69
"120",1e+06,0.0023758389261745,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.24,NA,NA,7.72
"121",22.7,0.00241610738255034,"bistable",49.76,10.17,0,0.31,0.16,0.11,0.73,0.22,0,1488.36,542.48,160.2,0.04,0.53,0.69
"122",1e+06,0.00241610738255034,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.2,NA,NA,7.72
"123",22.7,0.00245637583892617,"bistable",48.74,10.67,0,0.3,0.16,0.11,0.72,0.23,0,1468.12,558.37,160.17,0.05,0.52,0.69
"124",1e+06,0.00245637583892617,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.17,NA,NA,7.72
"125",22.7,0.00249664429530201,"bistable",47.74,11.19,0,0.3,0.16,0.11,0.7,0.24,0,1448.18,574.64,160.14,0.05,0.51,0.69
"126",1e+06,0.00249664429530201,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.14,NA,NA,7.72
"127",22.7,0.00253691275167785,"bistable",46.76,11.73,0,0.3,0.17,0.11,0.69,0.24,0,1428.51,591.33,160.11,0.05,0.5,0.69
"128",1e+06,0.00253691275167785,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.11,NA,NA,7.72
