"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"171",22.7,3.06711409395973,"bistable",3412.27,73.55,0,5.5,2.27,0.68,26.32,0.96,0,49529.16,4737.12,995.09,0.02,2.43,1.21
"172",1e+06,3.06711409395973,"bare",NA,NA,0,NA,NA,0.68,NA,NA,0,NA,NA,995.09,NA,NA,8.25
"173",22.7,3.09731543624161,"bistable",3444.1,77.48,0,5.56,2.36,0.69,26.54,0.99,0,49993.5,4911.57,1004.9,0.02,2.5,1.22
"174",1e+06,3.09731543624161,"bare",NA,NA,0,NA,NA,0.69,NA,NA,0,NA,NA,1004.9,NA,NA,8.25
"175",22.7,3.12751677852349,"bistable",3475.89,81.69,0,5.61,2.44,0.7,26.77,1.03,0,50457.4,5094.35,1014.7,0.02,2.57,1.23
"176",1e+06,3.12751677852349,"bare",NA,NA,0,NA,NA,0.7,NA,NA,0,NA,NA,1014.7,NA,NA,8.26
"177",22.7,3.15771812080537,"bistable",3507.64,86.22,0,5.66,2.53,0.7,26.99,1.07,0,50920.81,5286.1,1024.51,0.02,2.65,1.23
"178",1e+06,3.15771812080537,"bare",NA,NA,0,NA,NA,0.7,NA,NA,0,NA,NA,1024.51,NA,NA,8.26
"179",22.7,3.18791946308725,"bistable",3539.34,91.1,0,5.72,2.62,0.71,27.22,1.12,0,51383.66,5487.51,1034.31,0.03,2.72,1.24
"180",1e+06,3.18791946308725,"bare",NA,NA,0,NA,NA,0.71,NA,NA,0,NA,NA,1034.31,NA,NA,8.27
"181",22.7,3.21812080536913,"bistable",3570.99,96.36,0,5.77,2.72,0.72,27.44,1.16,0,51845.88,5699.38,1044.11,0.03,2.8,1.24
"182",1e+06,3.21812080536913,"bare",NA,NA,0,NA,NA,0.72,NA,NA,0,NA,NA,1044.11,NA,NA,8.28
"183",22.7,3.24832214765101,"bistable",3602.57,102.07,0,5.83,2.82,0.72,27.66,1.21,0,52307.37,5922.6,1053.92,0.03,2.89,1.25
"184",1e+06,3.24832214765101,"bare",NA,NA,0,NA,NA,0.72,NA,NA,0,NA,NA,1053.92,NA,NA,8.28
